date,year,city,region,pm25,pm10,aqi,season,festival_flag,dominant_cause,synthetic_annual_pm25,pm25_adjusted_real,pm10_adjusted_real,real_data_anchor
2024-01-01,2024,Delhi,Anand Vihar,194.4,446.3,283,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,148.3,340.5,1
2024-01-02,2024,Delhi,Anand Vihar,249.4,553.9,253,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,190.2,422.4,1
2024-01-03,2024,Delhi,Anand Vihar,154.0,281.6,266,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,117.5,214.9,1
2024-01-04,2024,Delhi,Anand Vihar,212.3,490.5,260,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,161.9,374.1,1
2024-01-05,2024,Delhi,Anand Vihar,216.9,439.5,213,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,165.5,335.3,1
2024-01-06,2024,Delhi,Anand Vihar,218.6,437.7,221,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,166.8,334.0,1
2024-01-07,2024,Delhi,Anand Vihar,206.4,436.5,228,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,157.4,332.9,1
2024-01-08,2024,Delhi,Anand Vihar,196.1,434.7,263,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,149.6,331.6,1
2024-01-09,2024,Delhi,Anand Vihar,220.1,505.5,220,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,167.9,385.6,1
2024-01-10,2024,Delhi,Anand Vihar,183.5,401.3,251,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,140.0,306.2,1
2024-01-11,2024,Delhi,Anand Vihar,201.0,396.7,292,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,153.3,302.6,1
2024-01-12,2024,Delhi,Anand Vihar,186.4,359.2,276,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,142.2,274.0,1
2024-01-13,2024,Delhi,Anand Vihar,176.8,325.6,277,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,134.9,248.4,1
2024-01-14,2024,Delhi,Anand Vihar,188.6,358.4,274,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,143.9,273.5,1
2024-01-15,2024,Delhi,Anand Vihar,183.7,388.4,262,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,140.1,296.2,1
2024-01-16,2024,Delhi,Anand Vihar,199.3,404.7,239,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,152.0,308.7,1
2024-01-17,2024,Delhi,Anand Vihar,155.4,330.9,236,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,118.5,252.3,1
2024-01-18,2024,Delhi,Anand Vihar,191.9,368.9,230,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,146.4,281.4,1
2024-01-19,2024,Delhi,Anand Vihar,215.7,415.4,294,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,164.5,316.8,1
2024-01-20,2024,Delhi,Anand Vihar,206.3,460.0,232,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,157.4,351.0,1
2024-01-21,2024,Delhi,Anand Vihar,198.8,393.1,288,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,151.6,299.8,1
2024-01-22,2024,Delhi,Anand Vihar,165.3,394.3,260,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,126.1,300.8,1
2024-01-23,2024,Delhi,Anand Vihar,209.4,464.1,233,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,159.7,353.9,1
2024-01-24,2024,Delhi,Anand Vihar,184.5,349.9,229,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,140.7,266.8,1
2024-01-25,2024,Delhi,Anand Vihar,199.0,466.2,279,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,151.8,355.6,1
2024-01-26,2024,Delhi,Anand Vihar,199.7,464.2,253,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,152.3,354.0,1
2024-01-27,2024,Delhi,Anand Vihar,173.5,356.6,256,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,132.3,271.9,1
2024-01-28,2024,Delhi,Anand Vihar,202.7,464.8,211,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,154.6,354.5,1
2024-01-29,2024,Delhi,Anand Vihar,163.7,341.6,298,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,124.9,260.6,1
2024-01-30,2024,Delhi,Anand Vihar,184.9,424.6,239,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,141.0,323.8,1
2024-01-31,2024,Delhi,Anand Vihar,154.4,321.0,203,Winter,0,Stubble burning + inversion + traffic,133.71633879781422,117.8,244.9,1
2024-02-01,2024,Delhi,Anand Vihar,134.4,266.0,204,Pre-monsoon,0,Vehicular emissions,133.71633879781422,102.5,202.9,1
2024-02-02,2024,Delhi,Anand Vihar,161.5,311.9,291,Pre-monsoon,0,Vehicular emissions,133.71633879781422,123.2,237.9,1
