City,Route,Date,Hour,Vehicles_Total,Cars,Two_Wheelers,Buses,Trucks,Auto_Rickshaws,EVs,Average_Speed_kmph,Congestion_pct,Weather_Flag,Festival_Flag
Delhi,Outer Ring Road,2026-01-01,0,4070,1480,1786,151,271,382,313,45.83,10,0,1
Delhi,Outer Ring Road,2026-01-01,1,3624,1263,1753,104,272,232,189,47.92,5,0,1
Delhi,Outer Ring Road,2026-01-01,2,3374,1105,1573,79,290,327,216,47.92,5,0,1
Delhi,Outer Ring Road,2026-01-01,3,3590,1181,1697,119,240,353,213,44.17,14,0,1
Delhi,Outer Ring Road,2026-01-01,4,3834,1513,1689,96,291,245,214,47.5,6,0,1
Delhi,Outer Ring Road,2026-01-01,5,15675,5594,7348,460,891,1382,976,37.92,29,0,1
Delhi,Outer Ring Road,2026-01-01,6,21991,8237,9093,643,1448,2570,1565,33.75,39,0,1
Delhi,Outer Ring Road,2026-01-01,7,24173,8727,10685,846,1581,2334,1338,37.08,31,0,1
Delhi,Outer Ring Road,2026-01-01,8,29501,9922,13996,999,2100,2484,2000,27.92,53,0,1
Delhi,Outer Ring Road,2026-01-01,9,26764,7509,13749,944,1961,2601,1720,37.08,31,0,1
Delhi,Outer Ring Road,2026-01-01,10,14021,5345,6245,372,839,1220,1033,40.42,23,0,1
Delhi,Outer Ring Road,2026-01-01,11,13484,4714,6216,465,841,1248,832,44.58,13,0,1
Delhi,Outer Ring Road,2026-01-01,12,14912,5305,6936,437,846,1388,937,42.08,19,0,1
Delhi,Outer Ring Road,2026-01-01,13,14121,5363,6095,407,957,1299,697,41.25,21,0,1
Delhi,Outer Ring Road,2026-01-01,14,14504,4773,7265,437,966,1063,1101,39.17,26,0,1
Delhi,Outer Ring Road,2026-01-01,15,15767,5846,6303,343,1131,2144,852,41.25,21,0,1
Delhi,Outer Ring Road,2026-01-01,16,14572,4717,6759,472,923,1701,813,37.5,30,0,1
Delhi,Outer Ring Road,2026-01-01,17,25223,9107,10710,580,1758,3068,1267,33.33,40,0,1
Delhi,Outer Ring Road,2026-01-01,18,28708,9065,13717,678,2179,3069,1880,30.83,46,0,1
Delhi,Outer Ring Road,2026-01-01,19,25569,8818,11231,650,2179,2691,1365,32.08,43,0,1
Delhi,Outer Ring Road,2026-01-01,20,12715,4563,5617,307,944,1284,898,37.92,29,0,1
Delhi,Outer Ring Road,2026-01-01,21,13976,4743,6270,380,1016,1567,912,39.58,25,0,1
Delhi,Outer Ring Road,2026-01-01,22,3845,1267,1828,161,282,307,214,46.67,8,0,1
Delhi,Outer Ring Road,2026-01-01,23,3737,1366,1768,111,231,261,237,45.83,10,0,1
Delhi,Outer Ring Road,2026-01-02,0,3938,1451,1686,130,250,421,253,47.92,5,0,0
Delhi,Outer Ring Road,2026-01-02,1,4004,1499,1829,138,220,318,283,46.67,8,0,0
Delhi,Outer Ring Road,2026-01-02,2,4076,1289,1986,125,279,397,252,45.83,10,0,0
Delhi,Outer Ring Road,2026-01-02,3,3484,1212,1600,110,336,226,244,47.92,5,0,0
Delhi,Outer Ring Road,2026-01-02,4,3622,1231,1688,86,220,397,212,47.5,6,0,0
Delhi,Outer Ring Road,2026-01-02,5,14479,5816,6043,466,698,1456,870,39.17,26,0,0
Delhi,Outer Ring Road,2026-01-02,6,19111,6997,8557,658,1111,1788,1170,39.17,26,0,0
Delhi,Outer Ring Road,2026-01-02,7,32575,9962,14748,1104,2911,3850,1601,30.0,48,0,0
Delhi,Outer Ring Road,2026-01-02,8,30966,11416,13473,1064,1908,3105,1184,32.08,43,0,0
Delhi,Outer Ring Road,2026-01-02,9,26065,10372,10726,594,1705,2668,1992,36.25,33,0,0
Delhi,Outer Ring Road,2026-01-02,10,16411,5462,7672,551,1227,1499,1060,40.42,23,0,0
Delhi,Outer Ring Road,2026-01-02,11,14596,5561,6572,333,1277,853,952,39.58,25,0,0
Delhi,Outer Ring Road,2026-01-02,12,14886,5202,6527,417,970,1770,980,42.08,19,0,0
Delhi,Outer Ring Road,2026-01-02,13,15955,5872,7202,520,968,1393,1144,38.75,27,0,0
Delhi,Outer Ring Road,2026-01-02,14,14364,5362,6262,373,1042,1325,905,38.75,27,0,0
Delhi,Outer Ring Road,2026-01-02,15,15827,5787,7055,448,1142,1395,1069,40.0,24,0,0
Delhi,Outer Ring Road,2026-01-02,16,14569,4891,7031,608,901,1138,1092,39.17,26,0,0
Delhi,Outer Ring Road,2026-01-02,17,29925,10450,14013,763,2115,2584,2196,30.83,46,0,0
Delhi,Outer Ring Road,2026-01-02,18,25082,9121,11083,684,1555,2639,1666,35.0,36,0,0
Delhi,Outer Ring Road,2026-01-02,19,26267,8521,12701,638,1746,2661,1764,30.0,48,0,0
Delhi,Outer Ring Road,2026-01-02,20,15881,5642,7188,403,1127,1521,1068,41.67,20,0,0
Delhi,Outer Ring Road,2026-01-02,21,15297,5083,7270,469,1127,1348,1016,40.42,23,0,0
Delhi,Outer Ring Road,2026-01-02,22,3886,1344,1636,125,324,457,303,47.92,5,0,0
Delhi,Outer Ring Road,2026-01-02,23,4243,1685,1846,105,250,357,207,47.92,5,0,0
Delhi,Outer Ring Road,2026-01-03,0,3141,1107,1397,121,244,272,178,47.08,7,0,0
Delhi,Outer Ring Road,2026-01-03,1,2909,1021,1338,73,140,337,186,45.83,10,0,0
Delhi,Outer Ring Road,2026-01-03,2,2794,988,1219,85,185,317,153,47.92,5,0,0
Delhi,Outer Ring Road,2026-01-03,3,3506,1250,1567,82,184,423,235,47.92,5,0,0
Delhi,Outer Ring Road,2026-01-03,4,4100,1443,1698,114,339,506,243,45.42,11,0,0
Delhi,Outer Ring Road,2026-01-03,5,13964,4524,6920,471,1136,913,780,45.42,11,0,0
