City,Route,Date,Hour,Vehicles_Total,Cars,Two_Wheelers,Buses,Trucks,Auto_Rickshaws,EVs,Average_Speed_kmph,Congestion_pct,Weather_Flag,Festival_Flag
Ghaziabad,NH-24 (GT Road),2026-01-01,0,10396,3950,4366,311,727,1042,582,37.72,29,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,1,11917,4528,5005,357,834,1193,667,34.46,34,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,2,8142,3093,3419,244,569,817,455,42.55,23,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,3,11303,4295,4747,339,791,1131,632,35.78,32,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,4,10849,4122,4556,325,759,1087,607,36.75,30,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,5,11534,4382,4844,346,807,1155,645,35.28,32,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,6,11107,4220,4664,333,777,1113,621,36.2,31,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,7,25456,9673,10691,763,1781,2548,1425,5.45,72,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,8,18960,7204,7963,568,1327,1898,1061,19.37,54,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,9,19184,7289,8057,575,1342,1921,1074,18.89,54,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,10,9191,3492,3860,275,643,921,514,40.31,26,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,11,9333,3546,3919,279,653,936,522,40.0,26,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,12,9161,3481,3847,274,641,918,512,40.37,26,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,13,12996,4938,5458,389,909,1302,727,32.15,37,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,14,13483,5123,5662,404,943,1351,754,31.11,38,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,15,9301,3534,3906,279,651,931,520,40.07,26,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,16,8752,3325,3675,262,612,878,490,41.25,25,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,17,21289,8089,8941,638,1490,2131,1192,14.38,60,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,18,19140,7273,8038,574,1339,1916,1071,18.99,54,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,19,21629,8219,9084,648,1514,2164,1211,13.65,61,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,20,10926,4151,4588,327,764,1096,611,36.59,31,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,21,7316,2780,3072,219,512,733,409,44.32,20,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,22,13749,5224,5774,412,962,1377,769,30.54,39,0,1
Ghaziabad,NH-24 (GT Road),2026-01-01,23,14271,5422,5993,428,998,1430,799,29.42,40,0,1
Ghaziabad,NH-24 (GT Road),2026-01-02,0,9213,3500,3869,276,644,924,515,40.26,26,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,1,9685,3680,4067,290,677,971,542,39.25,27,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,2,11100,4218,4662,333,777,1110,621,36.21,31,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,3,11202,4256,4704,336,784,1122,627,36.0,32,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,4,11882,4515,4990,356,831,1190,665,34.54,33,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,5,14721,5593,6182,441,1030,1475,824,28.45,42,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,6,10128,3848,4253,303,708,1016,567,38.3,28,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,7,18623,7076,7821,558,1303,1865,1042,20.09,53,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,8,17403,6613,7309,522,1218,1741,974,22.71,49,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,9,18765,7130,7881,562,1313,1879,1050,19.79,53,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,10,10430,3963,4380,312,730,1045,584,37.65,29,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,11,14268,5421,5992,428,998,1429,798,29.43,40,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,12,9413,3576,3953,282,658,944,527,39.83,26,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,13,10969,4168,4606,329,767,1099,614,36.49,31,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,14,10465,3976,4395,313,732,1049,585,37.57,29,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,15,12995,4938,5457,389,909,1302,727,32.15,37,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,16,15806,6006,6638,474,1106,1582,885,26.13,45,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,17,19185,7290,8057,575,1342,1921,1074,18.89,54,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,18,19272,7323,8094,578,1349,1928,1079,18.7,55,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,19,22492,8546,9446,674,1574,2252,1259,11.8,64,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,20,11931,4533,5011,357,835,1195,668,34.43,34,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,21,14378,5463,6038,431,1006,1440,805,29.19,41,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,22,11726,4455,4924,351,820,1176,656,34.87,33,0,0
Ghaziabad,NH-24 (GT Road),2026-01-02,23,9745,3703,4092,292,682,976,545,39.12,27,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,0,11740,4461,4930,352,821,1176,657,34.84,33,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,1,12828,4874,5387,384,897,1286,718,32.51,36,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,2,12223,4644,5133,366,855,1225,684,33.81,34,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,3,11565,4394,4857,346,809,1159,647,35.22,33,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,4,12740,4841,5350,382,891,1276,713,32.7,36,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,5,12955,4922,5441,388,906,1298,725,32.24,37,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,6,13402,5092,5628,402,938,1342,750,31.28,38,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,7,21662,8231,9098,649,1516,2168,1213,13.58,61,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,8,19949,7580,8378,598,1396,1997,1117,17.25,56,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,9,20608,7831,8655,618,1442,2062,1154,15.84,58,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,10,13033,4952,5473,390,912,1306,729,32.07,37,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,11,8784,3337,3689,263,614,881,491,41.18,25,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,12,11274,4284,4735,338,789,1128,631,35.84,32,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,13,9673,3675,4062,290,677,969,541,39.27,27,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,14,10560,4012,4435,316,739,1058,591,37.37,30,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,15,13184,5009,5537,395,922,1321,738,31.75,37,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,16,10901,4142,4578,327,763,1091,610,36.64,31,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,17,20397,7750,8566,611,1427,2043,1142,16.29,58,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,18,17444,6628,7326,523,1221,1746,976,22.62,49,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,19,21867,8309,9184,656,1530,2188,1224,13.14,62,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,20,11855,4504,4979,355,829,1188,663,34.6,33,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,21,15042,5715,6317,451,1052,1507,842,27.77,42,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,22,9853,3744,4138,295,689,987,551,38.89,28,0,0
Ghaziabad,NH-24 (GT Road),2026-01-03,23,10960,4164,4603,328,767,1098,613,36.51,31,0,0
Ghaziabad,NH-24 (GT Road),2026-01-04,0,11023,4188,4629,330,771,1105,617,36.38,31,0,0
Ghaziabad,NH-24 (GT Road),2026-01-04,1,13812,5248,5801,414,966,1383,773,30.4,39,0,0
Ghaziabad,NH-24 (GT Road),2026-01-04,2,10299,3913,4325,308,720,1033,576,37.93,29,0,0
Ghaziabad,NH-24 (GT Road),2026-01-04,3,11085,4212,4655,332,775,1111,620,36.25,31,0,0
Ghaziabad,NH-24 (GT Road),2026-01-04,4,11776,4474,4945,353,824,1180,659,34.77,33,0,0
