City,Route,Date,Hour,Vehicles_Total,Cars,Two_Wheelers,Buses,Trucks,Auto_Rickshaws,EVs,Average_Speed_kmph,Congestion_pct,Weather_Flag,Festival_Flag
Gurugram,NH-48,2026-01-01,0,19963,7585,8384,598,1397,1999,1117,32.78,36,0,1
Gurugram,NH-48,2026-01-01,1,14733,5598,6187,441,1031,1476,824,39.91,26,0,1
Gurugram,NH-48,2026-01-01,2,20847,7921,8755,625,1459,2087,1167,31.57,37,0,1
Gurugram,NH-48,2026-01-01,3,17152,6517,7203,514,1200,1718,960,36.61,31,0,1
Gurugram,NH-48,2026-01-01,4,23348,8872,9806,700,1634,2336,1307,28.16,42,0,1
Gurugram,NH-48,2026-01-01,5,14225,5405,5974,426,995,1425,796,40.6,25,0,1
Gurugram,NH-48,2026-01-01,6,22228,8446,9335,666,1555,2226,1244,29.69,40,0,1
Gurugram,NH-48,2026-01-01,7,32553,12370,13672,976,2278,3257,1822,15.61,59,0,1
Gurugram,NH-48,2026-01-01,8,29750,11305,12495,892,2082,2976,1666,19.43,54,0,1
Gurugram,NH-48,2026-01-01,9,30303,11515,12727,909,2121,3031,1696,18.68,55,0,1
Gurugram,NH-48,2026-01-01,10,15442,5867,6485,463,1080,1547,864,38.94,28,0,1
Gurugram,NH-48,2026-01-01,11,17899,6801,7517,536,1252,1793,1002,35.59,32,0,1
Gurugram,NH-48,2026-01-01,12,18225,6925,7654,546,1275,1825,1020,35.15,33,0,1
Gurugram,NH-48,2026-01-01,13,14606,5550,6134,438,1022,1462,817,40.08,26,0,1
Gurugram,NH-48,2026-01-01,14,16419,6239,6895,492,1149,1644,919,37.61,29,0,1
Gurugram,NH-48,2026-01-01,15,23569,8956,9898,707,1649,2359,1319,27.86,42,0,1
Gurugram,NH-48,2026-01-01,16,22200,8436,9324,666,1554,2220,1243,29.73,40,0,1
Gurugram,NH-48,2026-01-01,17,33339,12668,14002,1000,2333,3336,1866,14.54,60,0,1
Gurugram,NH-48,2026-01-01,18,32025,12169,13450,960,2241,3205,1793,16.33,58,0,1
Gurugram,NH-48,2026-01-01,19,32296,12272,13564,968,2260,3232,1808,15.96,58,0,1
Gurugram,NH-48,2026-01-01,20,18524,7039,7780,555,1296,1854,1037,34.74,33,0,1
Gurugram,NH-48,2026-01-01,21,13124,4987,5512,393,918,1314,734,42.1,23,0,1
Gurugram,NH-48,2026-01-01,22,15650,5947,6573,469,1095,1566,876,38.66,28,0,1
Gurugram,NH-48,2026-01-01,23,10993,4177,4617,329,769,1101,615,45.01,19,0,1
