City,Route,Date,Hour,Vehicles_Total,Cars,Two_Wheelers,Buses,Trucks,Auto_Rickshaws,EVs,Average_Speed_kmph,Congestion_pct,Weather_Flag,Festival_Flag
Noida,DND Flyway,2026-01-01,0,9392,3568,3944,281,657,942,525,41.22,25,0,1
Noida,DND Flyway,2026-01-01,1,10526,3999,4420,315,736,1056,589,38.95,28,0,1
Noida,DND Flyway,2026-01-01,2,12179,4628,5115,365,852,1219,682,35.64,32,0,1
Noida,DND Flyway,2026-01-01,3,9981,3792,4192,299,698,1000,558,40.04,26,0,1
Noida,DND Flyway,2026-01-01,4,9400,3572,3948,282,658,940,526,41.2,25,0,1
Noida,DND Flyway,2026-01-01,5,11798,4483,4955,353,825,1182,660,36.4,31,0,1
Noida,DND Flyway,2026-01-01,6,11801,4484,4956,354,826,1181,660,36.4,31,0,1
Noida,DND Flyway,2026-01-01,7,20609,7831,8655,618,1442,2063,1154,18.78,54,0,1
Noida,DND Flyway,2026-01-01,8,20690,7862,8689,620,1448,2071,1158,18.62,55,0,1
Noida,DND Flyway,2026-01-01,9,22272,8463,9354,668,1559,2228,1247,15.46,59,0,1
Noida,DND Flyway,2026-01-01,10,7991,3036,3356,239,559,801,447,44.02,21,0,1
Noida,DND Flyway,2026-01-01,11,8083,3071,3394,242,565,811,452,43.83,21,0,1
Noida,DND Flyway,2026-01-01,12,9633,3660,4045,288,674,966,539,40.73,25,0,1
Noida,DND Flyway,2026-01-01,13,10769,4092,4522,323,753,1079,602,38.46,28,0,1
Noida,DND Flyway,2026-01-01,14,11949,4540,5018,358,836,1197,669,36.1,31,0,1
Noida,DND Flyway,2026-01-01,15,14569,5536,6118,437,1019,1459,815,30.86,38,0,1
Noida,DND Flyway,2026-01-01,16,13179,5008,5535,395,922,1319,738,33.64,35,0,1
Noida,DND Flyway,2026-01-01,17,21390,8128,8983,641,1497,2141,1197,17.22,57,0,1
Noida,DND Flyway,2026-01-01,18,21707,8248,9116,651,1519,2173,1215,16.59,57,0,1
Noida,DND Flyway,2026-01-01,19,19494,7407,8187,584,1364,1952,1091,21.01,51,0,1
Noida,DND Flyway,2026-01-01,20,11208,4259,4707,336,784,1122,627,37.58,29,0,1
